Date,Time,Value
2015/12/30,16:35:4,115
2015/12/30,16:35:6,119
2015/12/30,16:35:9,121
2015/12/30,16:35:11,118
2015/12/30,16:35:13,77
2015/12/30,16:35:18,117
2015/12/30,16:35:20,118
2015/12/30,16:35:22,79
2015/12/30,16:35:24,118
2015/12/30,16:35:27,126
2015/12/30,16:35:29,118
2015/12/30,16:35:36,119
2015/12/30,16:35:38,126
2015/12/30,16:35:40,119
2015/12/30,16:35:42,120
2015/12/30,16:35:45,94
2015/12/30,16:35:47,118
2015/12/30,16:35:49,123
2015/12/30,16:35:51,122
2015/12/30,16:35:56,80
2015/12/30,16:35:58,100
2015/12/30,16:36:0,123
2015/12/30,16:36:5,101
2015/12/30,16:36:7,99
2015/12/30,16:36:9,77
2015/12/30,16:36:12,76
2015/12/30,16:36:14,124
2015/12/30,16:36:16,122
2015/12/30,16:36:21,120
2015/12/30,16:36:25,125
2015/12/30,16:36:30,70
2015/12/30,16:36:32,113
2015/12/30,16:36:34,120
2015/12/30,16:36:36,69
2015/12/30,16:36:39,70
2015/12/30,16:36:41,70
2015/12/30,16:36:43,69
2015/12/30,16:36:45,70
2015/12/30,16:36:47,69
2015/12/30,16:36:50,69
2015/12/30,16:36:52,69
2015/12/30,16:36:54,70
2015/12/30,16:36:56,69
2015/12/30,16:36:59,70
2015/12/30,16:37:1,95
2015/12/30,16:37:3,94
2015/12/30,16:37:5,93
2015/12/30,16:37:8,92
2015/12/30,16:37:10,105
2015/12/30,16:37:12,69
2015/12/30,16:37:14,69
2015/12/30,16:37:17,69
2015/12/30,16:37:19,120
2015/12/30,16:37:21,66
2015/12/30,16:37:23,70
2015/12/30,16:37:26,67
2015/12/30,16:37:28,68
2015/12/30,16:37:30,68
2015/12/30,16:37:35,69
2015/12/30,16:37:37,67
2015/12/30,16:37:39,71
2015/12/30,16:37:41,68
2015/12/30,16:37:46,68
2015/12/30,16:37:48,70
2015/12/30,16:37:50,70
2015/12/30,16:37:53,71
2015/12/30,16:37:57,72
2015/12/30,16:37:59,72
2015/12/30,16:38:4,72
2015/12/30,16:38:6,71
2015/12/30,16:38:8,72
2015/12/30,16:38:17,73
2015/12/30,16:38:20,124
2015/12/30,16:38:22,128
2015/12/30,16:38:24,72
2015/12/30,16:38:26,91
2015/12/30,16:38:28,70
2015/12/30,16:38:31,66
2015/12/30,16:38:33,64
2015/12/30,16:38:35,64
2015/12/30,16:38:37,67
2015/12/30,16:38:40,68
2015/12/30,16:38:42,68
2015/12/30,16:38:44,68
2015/12/30,16:38:46,69
2015/12/30,16:38:49,68
2015/12/30,16:38:51,70
2015/12/30,16:38:53,71
2015/12/30,16:38:55,68
2015/12/30,16:38:58,67
2015/12/30,16:39:0,68
2015/12/30,16:39:2,69
2015/12/30,16:39:4,70
2015/12/30,16:39:7,70
2015/12/30,16:39:9,72
2015/12/30,16:39:13,71
2015/12/30,16:39:16,71
2015/12/30,16:39:18,72
2015/12/30,16:39:22,70
2015/12/30,16:39:24,70
2015/12/30,16:39:27,72
2015/12/30,16:39:33,70
2015/12/30,16:39:36,71
2015/12/30,16:39:40,70
2015/12/30,16:39:42,70
2015/12/30,16:39:45,70
2015/12/30,16:39:47,72
2015/12/30,16:39:49,73
2015/12/30,16:39:51,69
2015/12/30,16:39:54,70
2015/12/30,16:39:56,70
2015/12/30,16:39:58,68
2015/12/30,16:40:0,70
2015/12/30,16:40:3,68
2015/12/30,16:40:5,67
2015/12/30,16:40:7,67
2015/12/30,16:40:9,67
2015/12/30,16:40:12,67
2015/12/30,16:40:14,67
2015/12/30,16:40:16,66
2015/12/30,16:40:18,66
2015/12/30,16:40:21,66
2015/12/30,16:40:23,67
2015/12/30,16:40:25,67
2015/12/30,16:40:27,68
2015/12/30,16:40:29,69
2015/12/30,16:40:32,70
2015/12/30,16:40:34,68
2015/12/30,16:40:36,69
2015/12/30,16:40:38,69
2015/12/30,16:40:41,80
2015/12/30,16:40:45,69
2015/12/30,16:40:47,68
2015/12/30,16:40:50,69
2015/12/30,16:40:52,68
2015/12/30,16:40:54,69
2015/12/30,16:40:56,68
2015/12/30,16:40:59,68
2015/12/30,16:41:1,69
2015/12/30,16:41:3,68
2015/12/30,16:41:5,68
2015/12/30,16:41:8,67
2015/12/30,16:41:10,68
2015/12/30,16:41:12,69
2015/12/30,16:41:14,69
2015/12/30,16:41:17,67
2015/12/30,16:41:19,68
2015/12/30,16:41:21,68
2015/12/30,16:41:23,67
2015/12/30,16:41:25,69
2015/12/30,16:41:28,68
2015/12/30,16:41:32,69
2015/12/30,16:41:34,70
2015/12/30,16:41:37,72
2015/12/30,16:41:39,89
2015/12/30,16:41:41,66
2015/12/30,16:41:43,67
2015/12/30,16:41:46,66
2015/12/30,16:41:48,66
2015/12/30,16:41:50,66
2015/12/30,16:41:52,67
2015/12/30,16:41:55,67
2015/12/30,16:41:57,66
2015/12/30,16:41:59,67
2015/12/30,16:42:4,70
2015/12/30,16:42:8,71
2015/12/30,16:42:10,68
2015/12/30,16:42:12,70
2015/12/30,16:42:15,70
2015/12/30,16:42:17,118
2015/12/30,16:42:19,93
2015/12/30,16:42:21,70
2015/12/30,16:42:24,68
2015/12/30,16:42:26,67
2015/12/30,16:42:28,67
2015/12/30,16:42:30,67
2015/12/30,16:42:33,71
2015/12/30,16:42:35,69
2015/12/30,16:42:39,71
2015/12/30,16:42:42,73
2015/12/30,16:42:44,62
2015/12/30,16:42:46,64
2015/12/30,16:43:15,68
2015/12/30,16:43:18,68
2015/12/30,16:43:20,68
2015/12/30,16:43:22,66
2015/12/30,16:43:24,67
2015/12/30,16:43:27,66
2015/12/30,16:43:29,68
2015/12/30,16:43:31,65
2015/12/30,16:43:38,72
2015/12/30,16:43:42,67
2015/12/30,16:43:45,69
2015/12/30,16:43:47,69
2015/12/30,16:43:58,68
2015/12/30,16:44:0,68
2015/12/30,16:44:2,67
2015/12/30,16:44:5,68
2015/12/30,16:44:7,70
2015/12/30,16:44:9,68
2015/12/30,16:44:11,67
2015/12/30,16:44:14,70
2015/12/30,16:44:16,69
2015/12/30,16:44:18,68
2015/12/30,16:44:20,68
2015/12/30,16:44:23,66
2015/12/30,16:44:25,68
2015/12/30,16:44:27,66
2015/12/30,16:44:29,68
2015/12/30,16:44:32,67
2015/12/30,16:44:34,69
2015/12/30,16:44:36,69
2015/12/30,16:44:38,69
2015/12/30,16:44:41,67
2015/12/30,16:44:45,68
2015/12/30,16:44:47,69
2015/12/30,16:44:52,71
2015/12/30,16:44:56,71
2015/12/30,16:44:58,69
2015/12/30,16:45:1,66
2015/12/30,16:45:3,66
2015/12/30,16:45:7,71
